skill,category,type,demand,scarcity,future_proof
Financial modeling,Civil Engineering,hard,94.1,66.8,74.4
Project management,Sales,hard,93.9,90.3,60.7
Conflict resolution,E-commerce,soft,93.4,84.4,76.7
Leadership,Civil Engineering,soft,93.2,70.6,59.8
Machine learning,Technology,hard,93.1,60.1,69.8
Tableau,Operations,hard,92.7,59.1,64.2
Adobe Illustrator,Operations,hard,92.3,63.9,79.9
Customer empathy,Energy,soft,92.2,79.7,71.9
Statistical analysis,Construction,hard,92.0,90.6,75.7
Tableau,Manufacturing,hard,92.0,67.5,66.1
Node.js,Public Sector,hard,92.0,67.0,58.1
React,Energy,hard,92.0,55.4,66.4
GraphQL,Operations,hard,91.8,60.4,57.8
Time management,Public Sector,soft,91.7,79.1,74.6
Quality assurance,Fashion,hard,91.7,78.7,84.2
Machine learning,Manufacturing,hard,91.7,68.4,87.2
Data visualization,Insurance,hard,91.3,66.5,57.0
Tableau,Sales,hard,91.2,88.2,74.0
Git,Operations,hard,91.2,63.7,66.1
Wireframing,Operations,hard,91.0,65.1,80.0
Customer empathy,Architecture,soft,91.0,60.6,91.6
REST API design,Fashion,hard,91.0,57.4,85.3
Data visualization,Transportation,hard,90.8,64.1,59.0
Kubernetes,Data and Analytics,hard,90.8,58.8,77.0
Financial modeling,Architecture,hard,90.6,81.2,82.3
Adobe Illustrator,Technology,hard,90.6,61.4,89.7
JavaScript,Architecture,hard,90.4,78.3,78.5
GraphQL,Design,hard,90.2,59.9,79.3
Kubernetes,Design,hard,90.1,70.4,54.0
Spark,Operations,hard,90.1,49.6,76.8
Collaboration,Data and Analytics,soft,90.0,56.8,75.5
A/B testing,Manufacturing,hard,90.0,55.2,61.3
Collaboration,Technology,soft,90.0,53.5,71.0
Electronic health records,Operations,hard,89.9,90.7,65.5
pandas,Healthcare,hard,89.9,57.2,60.0
Communication,Operations,soft,89.8,64.7,70.4
Leadership,Healthcare,soft,89.7,70.7,62.2
Figma,Construction,hard,89.7,59.1,81.3
Customer empathy,Banking,soft,89.7,49.2,80.9
Tableau,Transportation,hard,89.6,79.0,87.5
TypeScript,Insurance,hard,89.6,73.5,64.4
JavaScript,Insurance,hard,89.6,59.8,84.8
Terraform,Operations,hard,89.6,57.5,66.3
AutoCAD,Design,hard,89.5,86.1,66.2
Statistical analysis,Design,hard,89.5,80.0,77.6
